iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
0,1.2673659324645996,-545.993404413758,13.102762521728708,-527.5793016602508,-625.6516620232545,0.30769725979938567,0.05,0.051834821701049805,0.14622044563293457,0.024624849,0.1638735,-545.993404413758,-0.11959347804507493,-2.2268702045878257,0.0,2636,0.3009309768676758,1.0001725965020056,0.8949138282039287,-611.5936918024182
1,1.3720831871032715,-546.6170066194575,11.574038167008418,-533.2977332513875,-597.3259432210998,0.38000131867618325,0.05,0.014643430709838867,0.3577258586883545,0.024972549,0.13029657,-546.0557646343279,-0.11727318607504832,-2.229996811114944,0.0,2693,0.3762490749359131,0.8947032353031349,0.14174925691017706,-639.6488658616812
2,1.3712494373321533,-546.8100776159771,10.843936105896672,-534.8246113156281,-596.6575503956476,0.4534236804245856,0.05,0.020864009857177734,0.3719441890716553,0.026216375,0.09658915,-546.1311959324929,-0.11711353533708202,-2.230826821165663,0.0,2712,0.21837902069091797,0.14278659472108549,0.019786919069767792,-639.8245971487775
3,1.3059372901916504,-549.4657988390825,15.960678012244792,-532.9562104319504,-630.7750634920731,0.46583333943689925,0.05,0.02365708351135254,0.3563191890716553,0.024848534,0.09992385,-546.4646562231519,-0.11711329494046684,-2.244252625180034,0.0,2832,0.39728784561157227,0.01914684408760038,0.015928992735777282,-620.2138680097759
4,1.2497341632843018,-546.0525847730469,10.649567049836547,-532.3817155404131,-589.139811697245,0.4247583425963323,0.05,0.04871082305908203,0.37500953674316406,0.024715824,0.09581953,-546.4234490781414,-0.11964750670882868,-2.227213256875811,0.0,2654,0.2941160202026367,0.016265647683233752,0.012824683580133313,-616.2193984717865
5,1.1671726703643799,-547.8269027668471,11.542372982316929,-535.0217769881106,-585.7101120257853,0.4886315000225492,0.05,0.03108072280883789,0.4295790195465088,0.027047152,0.09954084,-546.563794447012,-0.11804831638369634,-2.2360199427144,0.0,2742,0.2715182304382324,0.01283853478574271,0.008526149491663837,-542.3136862855439
6,1.2116246223449707,-546.6347210124934,10.908298076040571,-535.1786397659554,-594.2890969310562,0.4005668842760725,0.05,0.06429600715637207,0.406566858291626,0.026434492,0.10805833,-546.5708871035602,-0.11930906791658093,-2.229968845255823,0.0,2665,0.3886258602142334,0.009000215608972541,0.005186921692124423,-616.0205530705992
7,1.2569358348846436,-548.8434102838488,14.615373118256368,-534.1091808677703,-629.5998551532143,0.4640649107472878,0.05,0.027018308639526367,0.2447974681854248,0.025173968,0.09421663,-546.798139421589,-0.11830547664692762,-2.2412018654537063,0.0,2799,0.2076706886291504,0.004994889214152422,0.0023121186541335288,-642.7584371171075
8,1.331009864807129,-550.7303938546194,17.33716293160453,-532.2887552374065,-618.8095880856318,0.45778978402016934,0.05,0.01717662811279297,0.4143092632293701,0.02539264,0.075722665,-547.1913648648921,-0.11326634047843734,-2.2506442423661657,0.0,2916,0.22709012031555176,0.002190304785143309,0.0007198684471639209,-669.2908227851509
9,1.3253943920135498,-549.4398280078727,13.988935538103227,-533.5304898414594,-586.5724792229698,0.45235599702683765,0.05,0.03040480613708496,0.28160643577575684,0.025480598,0.090616815,-547.4162111791901,-0.11236831924351784,-2.244060957698652,0.0,2894,0.39741039276123047,0.0007617397977169666,0.00017654643557665122,-598.3787074561063
10,1.3671724796295166,-548.5404898840294,15.102851536995802,-532.1079609714725,-637.3803222458415,0.47647473129335993,0.05,0.04077267646789551,0.3184976577758789,0.02413427,0.10120542,-547.528639049674,-0.11316794923918622,-2.239627016557205,0.0,2803,0.31899523735046387,0.00017381917671695606,6.399387026222368e-05,-578.7742555815834
11,1.1378750801086426,-549.2291663678974,13.373131289450146,-534.1787397706815,-605.2854628167998,0.45873442867937897,0.05,0.03611946105957031,0.3409569263458252,0.025962047,0.11033991,-547.6986917814963,-0.11276682136543166,-2.2431539996655374,0.0,2835,0.3145444393157959,6.941723839959255e-05,4.471320647448796e-05,-587.2970419673309
12,1.3068833351135254,-552.0992285180366,16.896868099206873,-533.5848227788333,-630.2340219961204,0.4634838711453933,0.05,0.015221118927001953,0.34964942932128906,0.02671133,0.10582512,-548.1387454551503,-0.11036163000362914,-2.257429310612187,0.0,3008,0.3798394203186035,4.066192486462333e-05,3.152763570151898e-05,-620.8300668781211
