iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
0,1.4287159442901611,-545.8175442493058,13.184295766685533,-529.7133105468214,-611.3980570522383,0.30918299304465957,0.05,0.04825735092163086,0.5316057205200195,0.02496524,0.16388533,-545.8175442493058,-0.11359048485255482,-2.2261186735660314,0.0,2768,0.25345492362976074,1.0001501596959919,0.8882804469343951,-605.5929649545823
1,1.3382091522216797,-548.2036791618987,14.119580332754557,-531.6323239615032,-587.1460438395038,0.40978081469840744,0.05,0.09673523902893066,0.5354213714599609,0.025717301,0.119832925,-546.0561577405651,-0.11219630627065383,-2.238053582386909,0.0,2915,0.3202695846557617,0.8880739577938835,0.13426045193500788,-622.9225373545122
2,1.4111206531524658,-548.1264893979484,16.640565925031385,-532.0958799702858,-654.6957522617339,0.44932493536386453,0.05,0.03471231460571289,0.3770792484283447,0.027065067,0.108630784,-546.2631909063035,-0.11153513615714558,-2.237615061082444,0.0,2917,0.3161451816558838,0.13441660849976442,0.017104067398176905,-632.2795121568769
3,1.2890410423278809,-550.6790470148175,18.835389046064023,-531.0707841185138,-672.4177501380261,0.46189673436155354,0.05,0.06081891059875488,0.27991557121276855,0.02565762,0.10553965,-546.704776517155,-0.11043937011778224,-2.250303625089926,0.0,3041,0.31531858444213867,0.01673837527644875,0.012628955897570486,-628.6013638962845
4,1.431504726409912,-547.1302629319626,17.59632878024331,-532.4760551001073,-683.2576537596707,0.41955212853671675,0.05,0.03627347946166992,0.3678719997406006,0.02573143,0.102368265,-546.7473251586357,-0.11352841498351011,-2.232640592022315,0.0,2851,0.32077574729919434,0.012751404857820682,0.008868844248683097,-619.2867888060968
5,1.6712331771850586,-552.943233344415,21.455321747810615,-533.5374486645618,-681.3699907601401,0.5003368231650087,0.05,0.053499698638916016,0.4988088607788086,0.026787428,0.09980995,-547.3669159772136,-0.10829021780668947,-2.2616738247457495,0.0,3190,0.35668516159057617,0.008593774627079671,0.0047274399716440785,-561.6465224849097
6,1.5306785106658936,-546.2362778267399,12.415027179654613,-532.8612493021885,-578.9992721585432,0.40998513644075807,0.05,0.029668807983398438,0.927640438079834,0.025828827,0.106552675,-547.2538521621663,-0.11218651838544344,-2.22819249180669,0.0,2801,0.3756251335144043,0.005423103926325726,0.0023994254743397708,-664.1175785099626
7,1.4586451053619385,-549.920106714417,15.770211457907756,-531.3769963703743,-610.2030633738054,0.46712559013993565,0.05,0.04697299003601074,0.6099848747253418,0.0255199,0.09688778,-547.5204776173913,-0.10828252928502423,-2.2466164681519043,0.0,3032,0.38275814056396484,0.002219100598862991,0.0005531970335824938,-626.5881691899266
8,1.6647913455963135,-550.0369306522118,15.577291340068447,-529.9565625127009,-594.4784749809091,0.46513142618301784,0.05,0.07016634941101074,0.5550169944763184,0.025148146,0.081242025,-547.7721229208734,-0.10871211893434,-2.247216738497686,0.0,3020,0.26328182220458984,0.0005356867135971464,0.00012989408374534229,-648.2405946535113
9,1.6062190532684326,-551.7122395853124,17.111671410575557,-533.2555545241679,-623.9623284650962,0.46805037541085237,0.05,0.048407554626464844,0.5086393356323242,0.026652956,0.10617747,-548.1661345873173,-0.10406047792841748,-2.2555551959476365,0.0,3173,0.2719292640686035,0.00014502960248415441,6.31125971092095e-05,-622.2137166697288
